Rank,Release Group,Worldwide,Domestic,%,Foreign,%
40,Dog,"$84,774,243","$61,778,069",72.9%,"$22,996,174",27.1%
41,Jackass Forever,"$80,483,820","$57,743,451",71.7%,"$22,740,369",28.3%
42,Avatar 2022 Re-release,"$75,520,575","$24,714,024",32.7%,"$50,806,551",67.3%
43,Detective Conan: The Bride of Halloween,"$72,653,401",-,-,"$72,653,401",100%
44,Interstellar 2021 Re-release,"$72,119,604",-,-,"$72,119,604",100%
45,The Northman,"$69,633,110","$34,233,110",49.2%,"$35,400,000",50.8%
46,Moonfall,"$67,293,836","$19,060,660",28.3%,"$48,233,176",71.7%
47,Beast,"$59,095,809","$31,846,530",53.9%,"$27,249,279",46.1%
48,The Menu,"$58,270,041","$29,095,582",49.9%,"$29,174,459",50.1%
49,Suzume no tojimari,"$56,548,327",-,-,"$56,548,327",100%
50,Confidential Assignment 2: International,"$54,486,330",-,-,"$54,486,330",100%
51,Strange World,"$53,851,959","$30,635,483",56.9%,"$23,216,476",43.1%
52,Ambulance,"$51,828,117","$22,309,115",43%,"$29,519,002",57%
53,Marry Me,"$50,455,382","$22,438,180",44.5%,"$28,017,202",55.5%
54,Brahmastra Part One: Shiva,"$50,164,785","$7,839,108",15.6%,"$42,325,677",84.4%
55,Barbarian,"$45,352,337","$40,842,944",90.1%,"$4,509,393",9.9%
56,Violent Night,"$42,455,080","$26,717,080",62.9%,"$15,738,000",37.1%
57,Prey for the Devil,"$41,863,276","$19,633,440",46.9%,"$22,229,836",53.1%
58,Paws of Fury: The Legend of Hank,"$41,694,992","$17,811,382",42.7%,"$23,883,610",57.3%
59,Orphan: First Kill,"$37,083,743","$5,413,227",14.6%,"$31,670,516",85.4%
60,Kingdom II: Harukanaru Daichi e,"$34,963,395",-,-,"$34,963,395",100%
61,The Bob's Burgers Movie,"$34,148,750","$31,933,830",93.5%,"$2,214,920",6.5%
62,Hunt,"$33,798,544","$24,335",<0.1%,"$33,774,209",99.9%
63,The Invitation,"$33,700,080","$25,100,080",74.5%,"$8,600,000",25.5%
64,BTS Permission to Dance on Stage - Seoul: Live Viewing,"$32,600,000","$6,840,000",21%,"$25,760,000",79%
65,Shin Ultraman,"$31,523,533",-,-,"$31,523,533",100%
66,Amsterdam,"$31,245,810","$14,947,969",47.8%,"$16,297,841",52.2%
67,Tad the Lost Explorer and the Emerald Tablet,"$30,478,656","$67,599",0.2%,"$30,411,057",99.8%
68,Vikram,"$29,837,637","$1,770,000",5.9%,"$28,067,637",94.1%
69,The Unbearable Weight of Massive Talent,"$29,116,320","$20,300,157",69.7%,"$8,816,163",30.3%
70,Mrs. Harris Goes to Paris,"$28,071,915","$10,433,915",37.2%,"$17,638,000",62.8%
71,The 355,"$27,826,938","$14,570,455",52.4%,"$13,256,483",47.6%
72,Serial (Bad) Weddings 3,"$27,281,581",-,-,"$27,281,581",100%
73,The Kashmir Files,"$24,821,898","$1,485,000",6%,"$23,336,898",94%
74,The Confidence Man JP: Episode of the Hero,"$23,214,581",-,-,"$23,214,581",100%
75,Harry Potter and the Chamber of Secrets 2022 Re-release,"$23,102,370",-,-,"$23,102,370",100%
76,The Witch: Part 2 - The Other One,"$23,068,596","$143,723",0.6%,"$22,924,873",99.4%
77,The Last 10 Years,"$22,539,146",-,-,"$22,539,146",100%
78,Harry Potter and the Chamber of Secrets 2021 Re-release,"$22,349,685","$191,501",0.9%,"$22,158,184",99.1%
79,6/45,"$22,263,336",-,-,"$22,263,336",100%
80,Doraemon the Movie: Nobita's Little Star Wars 2021,"$22,044,058",-,-,"$22,044,058",100%
81,See How They Run,"$21,966,634","$9,586,237",43.6%,"$12,380,397",56.4%
82,Ponniyin Selvan: Part I,"$21,876,105","$4,282,000",19.6%,"$17,594,105",80.4%
83,Silent Parade,"$21,717,636",-,-,"$21,717,636",100%
84,Father Stu,"$21,592,379","$20,884,796",96.7%,"$707,583",3.3%
85,Decision to Leave,"$21,240,694","$1,962,167",9.2%,"$19,278,527",90.8%
86,Emergency Declaration,"$20,879,335","$412,196",2%,"$20,467,139",98%
87,Turning Red,"$20,122,621",-,-,"$20,122,621",100%
88,Three Thousand Years of Longing,"$19,223,063","$8,286,741",43.1%,"$10,936,322",56.9%
89,After Ever Happy,"$19,152,310","$1,072,750",5.6%,"$18,079,560",94.4%
90,Beast,"$18,911,959",-,-,"$18,911,959",100%
91,The Banshees of Inisherin,"$18,769,458","$8,567,595",45.6%,"$10,201,863",54.4%
92,Godfather,"$18,737,287",-,-,"$18,737,287",100%
93,Bhool Bhulaiyaa 2,"$18,307,258",-,-,"$18,307,258",100%
94,Die Schule der magischen Tiere 2,"$18,248,643",-,-,"$18,248,643",100%
95,November,"$17,576,463",-,-,"$17,576,463",100%
96,Devotion,"$17,567,898","$17,000,207",96.8%,"$567,691",3.2%
97,Fall,"$17,373,850","$7,240,521",41.7%,"$10,133,329",58.3%
98,The Quintessential Quintuplets Movie,"$17,243,302","$502,000",2.9%,"$16,741,302",97.1%
99,Wunderschön,"$16,719,291",-,-,"$16,719,291",100%
100,Father There Is Only One 3,"$16,112,265",-,-,"$16,112,265",100%
101,Triangle of Sadness,"$15,982,597","$4,034,206",25.2%,"$11,948,391",74.8%
102,Radhe Shyam,"$15,954,804","$1,860,000",11.7%,"$14,094,804",88.3%
103,Simone: Woman of the Century,"$15,937,212",-,-,"$15,937,212",100%
104,Blacklight,"$15,902,207","$9,591,094",60.3%,"$6,311,113",39.7%
105,Operation Mincemeat,"$15,710,164",-,-,"$15,710,164",100%
106,Maison de retraite,"$15,567,804",-,-,"$15,567,804",100%
107,Bheemla Nayak,"$15,243,922",-,-,"$15,243,922",100%
108,Broker,"$15,153,427",-,-,"$15,153,427",100%
109,Crayon Shin-chan: Mononoke Ninja Chinpuden,"$14,895,696",-,-,"$14,895,696",100%
110,Firestarter,"$14,889,250","$9,589,250",64.4%,"$5,300,000",35.6%
111,The Wolf of Wall Street 2022 Re-release,"$14,877,539",-,-,"$14,877,539",100%
112,X,"$14,779,858","$11,765,309",79.6%,"$3,014,549",20.4%
113,Super-héros malgré lui,"$14,770,359",-,-,"$14,770,359",100%
114,Bros,"$14,748,025","$11,628,165",78.8%,"$3,119,860",21.2%
115,The Chosen Season 3: Episode 1 & 2,"$14,679,217","$14,612,089",99.5%,"$67,128",0.5%
116,Land of Legends,"$14,561,951",-,-,"$14,561,951",100%
117,The Duke,"$14,222,161","$1,526,970",10.7%,"$12,695,191",89.3%
118,Sarkaru Vaari Paata,"$14,199,018",-,-,"$14,199,018",100%
119,Bodies Bodies Bodies,"$13,904,111","$11,446,602",82.3%,"$2,457,509",17.7%
120,Memory,"$13,897,255","$7,329,043",52.7%,"$6,568,212",47.3%
121,Glass Onion: A Knives Out Mystery,"$13,280,000","$13,280,000",100%,-,-
122,Valimai,"$13,276,393",-,-,"$13,276,393",100%
123,The Night Owl,"$13,115,611",-,-,"$13,115,611",100%
124,Bones and All,"$13,086,384","$7,286,384",55.7%,"$5,800,000",44.3%
125,Easter Sunday,"$13,071,438","$13,013,690",99.6%,"$57,748",0.4%
126,Matilda the Musical,"$13,000,000",-,-,"$13,000,000",100%
127,Guglhupfgeschwader,"$12,307,072",-,-,"$12,307,072",100%
128,"Utapri Movie 2, Uta No Prince-Sama Maji Love Starish Tours Movie","$12,291,650",-,-,"$12,291,650",100%
129,Moonage Daydream,"$12,201,925","$4,218,925",34.6%,"$7,983,000",65.4%
130,Laal Singh Chaddha,"$12,093,536","$3,401,324",28.1%,"$8,692,212",71.9%
131,Alienoid,"$12,067,556","$168,309",1.4%,"$11,899,247",98.6%
132,Terrifier 2,"$11,498,639","$10,640,105",92.5%,"$858,534",7.5%
133,Jug Jugg Jeeyo,"$11,467,726","$1,033,000",9%,"$10,434,726",91%
134,Bergen,"$11,325,405",-,-,"$11,325,405",100%
135,Men,"$11,152,071","$7,587,853",68%,"$3,564,218",32%
136,Warriors of Future,"$10,490,328",-,-,"$10,490,328",100%
137,Jurassic Park 2022 Re-release,"$10,374,018",-,-,"$10,374,018",100%
138,Chickenhare and the Hamster of Darkness,"$10,333,479",-,-,"$10,333,479",100%
139,She Said,"$10,295,845","$5,692,845",55.3%,"$4,603,000",44.7%
140,The Pirates: The Last Royal Treasure,"$10,258,331",-,-,"$10,258,331",100%
141,Rise,"$10,179,767",-,-,"$10,179,767",100%
142,Vaillante,"$10,143,170",-,-,"$10,143,170",100%
143,Table for Six,"$10,137,451",-,-,"$10,137,451",100%
144,Smack Dab Kakha,"$9,995,945",-,-,"$9,995,945",100%
145,F3: Fun and Frustration,"$9,849,193","$1,195,000",12.1%,"$8,654,193",87.9%
146,The First Slam Dunk,"$9,647,895",-,-,"$9,647,895",100%
147,Spider-Man: No Way Home 2022 Re-release,"$9,613,518","$9,321,593",97%,"$291,925",3%
148,Rheingold,"$9,598,008",-,-,"$9,598,008",100%
149,Talk to Her Undated France Release,"$9,541,068",-,-,"$9,541,068",100%
150,Redeeming Love,"$9,464,198","$9,214,020",97.4%,"$250,178",2.6%
151,Pearl,"$9,423,445","$9,423,445",100%,-,-
152,"Good Luck to You, Leo Grande","$9,272,325",-,-,"$9,272,325",100%
153,Till,"$8,968,822","$8,968,822",100%,-,-
154,Sword Art Online: Progressive - Scherzo of Deep Night,"$8,590,183",-,-,"$8,590,183",100%
155,Samrat Prithviraj,"$8,568,339",-,-,"$8,568,339",100%
156,Puss in Boots: The Last Wish,"$8,510,000",-,-,"$8,510,000",100%
157,Don,"$8,287,406",-,-,"$8,287,406",100%
158,Life Is Beautiful,"$8,238,901",-,-,"$8,238,901",100%
159,Vikram Vedha,"$8,234,166","$1,589,362",19.3%,"$6,644,804",80.7%
160,Even if This Love Disappears from the World Tonight,"$8,220,127",-,-,"$8,220,127",100%
161,Karada Sagashi,"$8,166,175",-,-,"$8,166,175",100%
162,Acharya,"$8,048,175","$832,000",10.3%,"$7,216,175",89.7%
163,Ducobu Président !,"$7,858,171",-,-,"$7,858,171",100%
164,777 Charlie,"$7,523,995",-,-,"$7,523,995",100%
165,The Fabelmans,"$7,401,020","$7,322,196",98.9%,"$78,824",1.1%
166,Bachchhan Paandey,"$7,387,882",-,-,"$7,387,882",100%
167,Finnick,"$7,376,633",-,-,"$7,376,633",100%
168,Lesson in Murder,"$7,348,964",-,-,"$7,348,964",100%
169,How About Adolf?,"$7,330,755",-,-,"$7,330,755",100%
170,Laid-Back Camp: The Movie,"$7,310,123",-,-,"$7,310,123",100%
171,Osomatsusan the Movie 2022 Re-release,"$7,297,522",-,-,"$7,297,522",100%
172,Mobile Suit Gundam: Cucuruz Doan's Island,"$7,006,640",-,-,"$7,006,640",100%
173,Chempion mira,"$6,947,138",-,-,"$6,947,138",100%
174,Menteur 2022 Re-release,"$6,899,633",-,-,"$6,899,633",100%
175,Rabbit Academy,"$6,744,299",-,-,"$6,744,299",100%
176,The New Toy,"$6,714,575",-,-,"$6,714,575",100%
177,Decibel,"$6,602,344","$50,277",0.8%,"$6,552,067",99.2%
178,National Theatre Live: Prima Facie,"$6,584,925",-,-,"$6,584,925",100%
179,Honest Candidate 2,"$6,433,696",-,-,"$6,433,696",100%
180,"Farewell, Mr. Haffmann","$6,417,032",-,-,"$6,417,032",100%
181,Cyrano,"$6,396,017","$3,873,124",60.6%,"$2,522,893",39.4%
182,Marcel the Shell with Shoes On,"$6,336,735","$6,333,702",100%,"$3,033",<0.1%
183,Mascarade,"$6,179,660",-,-,"$6,179,660",100%
184,The Exorcism of God,"$6,102,053",-,-,"$6,102,053",100%
185,Notre-Dame on Fire,"$6,059,202",-,-,"$6,059,202",100%
186,Kingmaker,"$6,049,522",-,-,"$6,049,522",100%
187,Vikrant Rona,"$6,020,595",-,-,"$6,020,595",100%
188,Listy do M. 5,"$5,989,556",-,-,"$5,989,556",100%
189,Last Seen Alive,"$5,950,199",-,-,"$5,950,199",100%
190,God's Crooked Lines,"$5,933,221",-,-,"$5,933,221",100%
191,The Policeman's Lineage,"$5,869,939",-,-,"$5,869,939",100%
192,Maigret,"$5,800,151",-,-,"$5,800,151",100%
193,Goliath,"$5,797,270",-,-,"$5,797,270",100%
194,Radiation House,"$5,793,450",-,-,"$5,793,450",100%
195,Fireheart,"$5,785,250","$49,848",0.9%,"$5,735,402",99.1%
196,Bheeshma Parvam,"$5,779,651",-,-,"$5,779,651",100%
197,The One,"$5,764,969",-,-,"$5,764,969",100%
198,Jeepers Creepers: Reborn,"$5,749,819","$2,033,057",35.4%,"$3,716,762",64.6%
199,Irréductible,"$5,709,995",-,-,"$5,709,995",100%
200,Jaws 2022 Re-release,"$5,632,179","$5,100,765",90.6%,"$531,414",9.4%
